event_ticker,event_title,market_ticker,yes_team_subtitle,no_team_subtitle,status,result,open_time,close_time,occurrence_datetime,settlement_value_dollars,volume,open_interest
KXWCGAME-26JUL19ESPARG,Spain vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL19ESPARG-ESP,Reg Time: Spain,Reg Time: Spain,finalized,no,2026-07-15T22:00:00Z,2026-07-19T21:18:52Z,2026-07-19T22:00:00Z,0.0,9442268.85,6738736.56
KXWCGAME-26JUL19ESPARG,Spain vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL19ESPARG-ARG,Reg Time: Argentina,Reg Time: Argentina,finalized,no,2026-07-15T22:00:00Z,2026-07-19T21:18:52Z,2026-07-19T22:00:00Z,0.0,16200285.74,11703778.5
KXWCGAME-26JUL19ESPARG,Spain vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL19ESPARG-TIE,Reg Time: Tie,Reg Time: Tie,finalized,yes,2026-07-15T22:00:00Z,2026-07-19T21:18:52Z,2026-07-19T22:00:00Z,1.0,8644737.72,6136379.21
KXWCGAME-26JUL18FRAENG,France vs England: Regulation Time Moneyline,KXWCGAME-26JUL18FRAENG-FRA,Reg Time: France,Reg Time: France,finalized,no,2026-07-15T21:43:00Z,2026-07-18T23:04:26Z,2026-07-19T00:00:00Z,0.0,17871577.2,6804528.15
KXWCGAME-26JUL18FRAENG,France vs England: Regulation Time Moneyline,KXWCGAME-26JUL18FRAENG-ENG,Reg Time: England,Reg Time: England,finalized,yes,2026-07-15T21:43:00Z,2026-07-18T23:04:26Z,2026-07-19T00:00:00Z,1.0,13170276.21,5702254.95
KXWCGAME-26JUL18FRAENG,France vs England: Regulation Time Moneyline,KXWCGAME-26JUL18FRAENG-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-07-15T21:43:00Z,2026-07-18T23:04:26Z,2026-07-19T00:00:00Z,0.0,10096358.77,3515501.85
KXWCGAME-26JUL15ENGARG,England vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL15ENGARG-ENG,Reg Time: England,Reg Time: England,finalized,no,2026-07-12T04:10:00Z,2026-07-15T21:04:21Z,2026-07-15T22:00:00Z,0.0,8322375.02,4476698.22
KXWCGAME-26JUL15ENGARG,England vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL15ENGARG-ARG,Reg Time: Argentina,Reg Time: Argentina,finalized,yes,2026-07-12T04:10:00Z,2026-07-15T21:04:21Z,2026-07-15T22:00:00Z,1.0,11339896.79,4763335.17
KXWCGAME-26JUL15ENGARG,England vs Argentina: Regulation Time Moneyline,KXWCGAME-26JUL15ENGARG-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-07-12T04:10:00Z,2026-07-15T21:04:21Z,2026-07-15T22:00:00Z,0.0,9417554.5,4237965.95
KXWCGAME-26JUL14FRAESP,France vs Spain: Regulation Time Moneyline,KXWCGAME-26JUL14FRAESP-FRA,Reg Time: France,Reg Time: France,finalized,no,2026-07-10T21:31:00Z,2026-07-14T20:59:36Z,2026-07-14T22:00:00Z,0.0,18359377.38,12687275.11
